period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,technology,energy_source_code,energy.source.desc,prime_mover_code,balancing_authority_code,balancing.authority.name,status,statusDescription,county,latitude,longitude,nameplate.capacity.mw,operating.year.month,unit,nameplate.capacity.mw.units
2018-05,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2018-03,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2018-08,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2017-12,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2018-01,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2018-04,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2018-09,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2017-11,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2018-02,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2017-10,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2017-09,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2017-08,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2017-07,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2017-06,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
2017-05,ID,Idaho,ipp-non-chp,IPP Non-CHP,59755,"Murphy Flat Power, LLC",60009,Murphy Flat Solar,IPMF,Solar Photovoltaic,SUN,Solar,PV,IPCO,Idaho Power Company,OP,Operating,Owyhee,43.213,-116.439,20,2017-04,,MW
