period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2014-12,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,746.91,megawatthours
2014-11,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1110.3,megawatthours
2016-12,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,241.83,megawatthours
2014-08,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1815.61,megawatthours
2015-02,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,181,megawatthours
2015-04,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,252.2,megawatthours
2015-09,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,233.5,megawatthours
2014-09,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1438.53,megawatthours
2015-01,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,126.9,megawatthours
2013-10,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1577.78,megawatthours
2013-11,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1083.28,megawatthours
2013-12,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1084.1,megawatthours
2014-07,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1490.69,megawatthours
2013-08,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1643.89,megawatthours
2013-09,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1520.43,megawatthours
2015-05,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,233.67,megawatthours
2017-03,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,3245.49,megawatthours
2015-06,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,270.34,megawatthours
2016-04,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,169.1,megawatthours
2013-02,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1140.99,megawatthours
2013-01,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,998.31,megawatthours
2013-06,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1727.32,megawatthours
2014-01,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1082.43,megawatthours
2014-02,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1224.23,megawatthours
2014-03,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1532.44,megawatthours
2013-07,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1649.76,megawatthours
2013-03,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1414.71,megawatthours
2014-06,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1779.91,megawatthours
2013-04,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,1373.45,megawatthours
2013-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,119.34,megawatthours
2019-09,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,192.6,megawatthours
2020-02,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,132.52,megawatthours
2016-05,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,242.94,megawatthours
2019-08,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,233.32,megawatthours
2019-07,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,229.2,megawatthours
2015-11,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,212.25,megawatthours
2016-06,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,255.54,megawatthours
2015-12,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,281.25,megawatthours
2020-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,226.89,megawatthours
2020-07,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,264.73,megawatthours
2020-05,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,263.47,megawatthours
2020-06,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,255.43,megawatthours
2020-08,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,215.76,megawatthours
2020-01,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,125.81,megawatthours
2019-06,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,242.15,megawatthours
2019-10,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,189.32,megawatthours
2019-12,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,85.77,megawatthours
2019-05,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,215.28,megawatthours
2019-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,202.21,megawatthours
2020-10,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,158.44,megawatthours
2019-03,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,171.77,megawatthours
2020-09,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,210.27,megawatthours
2014-05,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,257.32,megawatthours
2018-07,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,263.16,megawatthours
2018-10,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,188.3,megawatthours
2018-02,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,155.57,megawatthours
2018-06,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,301.92,megawatthours
2018-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,243.79,megawatthours
2018-03,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,201.17,megawatthours
2018-05,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,280.94,megawatthours
2020-12,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,103.16,megawatthours
