period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2019-11,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2019-02,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,15,megawatthours
2019-01,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,8,megawatthours
2019-08,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,22,megawatthours
2020-11,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2020-12,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2020-03,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2019-04,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,4,megawatthours
2018-11,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,16,megawatthours
2018-12,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,13,megawatthours
2018-03,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,24,megawatthours
2018-10,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,19,megawatthours
2017-07,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,20,megawatthours
2017-08,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,20,megawatthours
2017-11,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,13,megawatthours
2017-12,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,14,megawatthours
2018-04,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,29,megawatthours
2017-06,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,24,megawatthours
2017-10,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,15,megawatthours
2017-09,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,18,megawatthours
2017-05,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,26,megawatthours
2018-02,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,18,megawatthours
2018-05,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,34,megawatthours
2018-01,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,16,megawatthours
2017-04,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,21,megawatthours
2016-09,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,17,megawatthours
2017-01,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,11,megawatthours
2016-04,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2016-07,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,22,megawatthours
2016-08,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,21,megawatthours
2016-01,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2016-02,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2016-03,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2016-11,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,11,megawatthours
2016-10,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,16,megawatthours
