GEOID,year,month,smoke_days,total_pm
04003001401,2018,11,1,1.482816
04003001401,2019,02,1,1.524127
04003001401,2019,03,2,5.796385
04003001401,2019,06,6,6.607616358
04003001401,2019,07,2,2.5784744
04003001401,2019,10,1,2.279424
04003001401,2020,02,1,1.453245
04003001401,2020,06,7,22.0019068
04003001401,2020,07,1,2.423949
04003001401,2020,08,13,73.221397
04003001401,2020,09,20,119.958317
04003001401,2020,10,13,50.50895556971
04012020100,2013,05,2,0.06615688
04012020100,2013,06,8,28.04976057342
04012020100,2013,07,9,40.282327263
04012020100,2013,10,1,0.1749182
04012020100,2014,01,1,0.02306206
04012020100,2014,02,1,0.2558241
04012020100,2014,04,1,0.2482721
04012020100,2014,05,2,5.61916
04012020100,2014,08,1,0.0001952769
04012020100,2014,10,2,0.0084378251
04012020100,2015,04,2,5.95903
04012020100,2015,06,11,27.54497896
04012020100,2015,07,1,0.1442636
04012020100,2015,08,1,4.646759
04012020100,2016,04,1,0.06957437
04012020100,2016,05,4,3.0786860789
04012020100,2016,06,9,7.277619607
04012020100,2016,07,3,0.511038975
04012020100,2016,08,6,16.1559225
04012020100,2016,11,1,0
04012020100,2017,06,8,16.34204984
04012020100,2017,07,2,0.98687832
04012020100,2017,08,3,7.343327448
04012020100,2017,09,4,18.20469
04012020100,2017,10,4,2.10141408
04012020100,2018,01,2,0.00135270083
04012020100,2018,02,1,0.1423025
04012020100,2018,03,1,0.232781
04012020100,2018,04,1,0.0008706031
04012020100,2018,05,1,0.1728807
04012020100,2018,06,4,1.75424237
04012020100,2018,07,4,5.96094687
04012020100,2018,08,9,28.3452043
04012020100,2018,11,1,4.209621
04012020100,2019,01,1,0.0003223376
04012020100,2019,02,1,7.397447e-05
04012020100,2019,03,1,0.0001035217
04012020100,2019,04,1,7.23239e-05
04012020100,2019,06,6,2.780591570191
04012020100,2019,07,3,1.8290141709
04012020100,2019,09,2,3.279702
04012020100,2019,10,5,4.00030276745
04012020100,2019,11,1,0.007834642
04012020100,2019,12,1,3.259054
04012020100,2020,02,3,0.412992796
04012020100,2020,06,7,7.38861802
04012020100,2020,07,4,5.39357169
04012020100,2020,08,19,99.924073
04012020100,2020,09,23,148.428404
04012020100,2020,10,16,79.398866
04013050603,2013,01,1,0.0180625
04013050603,2013,05,5,6.27853114
04013050603,2013,06,5,26.9597106
04013050603,2013,07,6,32.165097
04013050603,2014,01,2,0.019982066
04013050603,2014,02,2,0.016407546
04013050603,2014,03,1,1.7376
04013050603,2014,05,4,5.492872
04013050603,2014,07,1,0.0121859
04013050603,2014,08,1,0.2265204
04013050603,2014,10,1,0.5243293
04013050603,2015,01,1,0.01539832
04013050603,2015,04,2,3.2661967
04013050603,2015,06,7,12.73382756
04013050603,2015,08,1,2.627834
04013050603,2015,12,1,0.05476769
04013050603,2016,02,1,0.01781698
04013050603,2016,03,1,0.0002592217
04013050603,2016,05,3,2.5970853123
04013050603,2016,06,9,9.84088183
04013050603,2016,08,5,12.055421
04013050603,2017,01,1,0.02806143
04013050603,2017,06,9,19.1474480497126
04013050603,2017,07,1,0.1729749
04013050603,2017,08,2,7.078909
04013050603,2017,09,3,16.057190007
04013050603,2017,10,4,2.4735992
04013050603,2017,11,1,0.03288696
04013050603,2018,01,2,0.045711049
04013050603,2018,04,1,0.1480353
04013050603,2018,05,2,5.5817452
04013050603,2018,06,1,0.03245551
04013050603,2018,07,1,3.411513
04013050603,2018,08,8,25.990754
04013050603,2018,11,2,5.50596067
04013050603,2018,12,1,0.03672177
04013050603,2019,01,1,0.008532804
04013050603,2019,06,4,5.108142742
04013050603,2019,09,1,0.003557949
04013050603,2019,10,3,7.29613
04013050603,2020,01,1,0.006297196
04013050603,2020,05,1,1.246848
04013050603,2020,06,4,1.3096074796352
04013050603,2020,07,2,1.173101375
04013050603,2020,08,17,86.465485528
04013050603,2020,09,23,155.99369247
04013050603,2020,10,17,75.4818569
04013050604,2013,05,2,5.61838
04013050604,2013,06,4,24.624733
04013050604,2013,07,6,31.655745
04013050604,2014,03,1,0.8805645
04013050604,2014,05,4,5.711933368
04013050604,2015,04,2,2.4993306
04013050604,2015,06,6,12.68974609
04013050604,2015,08,1,1.924548
04013050604,2016,05,1,2.558341
04013050604,2016,06,4,9.37353717
04013050604,2016,08,5,12.29886
04013050604,2017,06,7,20.8458487
04013050604,2017,08,2,7.251655
04013050604,2017,09,2,17.124525
04013050604,2017,10,3,2.92372048
04013050604,2018,05,1,1.608423
04013050604,2018,07,1,3.477561
04013050604,2018,08,8,28.3395612
04013050604,2018,11,1,6.146101
04013050604,2019,06,3,5.5402752
04013050604,2019,10,3,7.199847
04013050604,2020,05,1,0.1287866
04013050604,2020,06,3,2.2123091
04013050604,2020,07,1,0.9852535
04013050604,2020,08,16,90.869289
04013050604,2020,09,22,153.73403249
04013050604,2020,10,17,80.4072575
04013050605,2013,05,3,4.17103739
04013050605,2013,06,5,22.722212714
04013050605,2013,07,7,33.480379
04013050605,2014,05,4,9.0609232
04013050605,2014,11,1,0.131165
04013050605,2015,04,1,2.245352
04013050605,2015,06,6,11.369362
04013050605,2015,08,1,1.482418
04013050605,2016,05,1,2.142792
04013050605,2016,06,4,8.6229517
04013050605,2016,08,5,12.242369
04013050605,2017,06,8,23.4550344
04013050605,2017,07,2,3.86565437841
04013050605,2017,08,2,6.445646
04013050605,2017,09,2,15.406746
04013050605,2017,10,3,4.339401
04013050605,2018,05,1,0.6518596
04013050605,2018,07,1,3.274795
04013050605,2018,08,8,28.159457
04013050605,2018,11,1,6.63572
04013050605,2019,06,7,8.4160193
04013050605,2019,07,1,0.6005492
04013050605,2019,09,2,2.428561
04013050605,2019,10,5,7.9448575
04013050605,2019,11,1,1.694769
04013050605,2020,05,2,1.0606874
04013050605,2020,06,6,5.543325216272
04013050605,2020,08,17,96.68975582594
04013050605,2020,09,22,143.218675
04013050605,2020,10,18,84.9883449
04013050608,2013,05,2,4.388746
04013050608,2013,06,4,25.690043
04013050608,2013,07,6,29.438209
04013050608,2014,05,2,5.457374
04013050608,2015,04,1,1.99241
04013050608,2015,06,5,10.048569
04013050608,2015,08,1,1.267095
04013050608,2016,05,1,2.359632
04013050608,2016,06,3,7.590496
04013050608,2016,08,5,12.407012
04013050608,2017,06,6,19.5995102
04013050608,2017,08,2,6.176963
04013050608,2017,09,2,15.888462
04013050608,2017,10,2,3.135914
04013050608,2018,07,1,3.212361
04013050608,2018,08,8,26.927335
04013050608,2018,11,1,6.694899
04013050608,2019,06,4,5.5520309
04013050608,2019,10,3,7.366346
04013050608,2020,06,3,2.4691881
04013050608,2020,08,16,91.230843
04013050608,2020,09,21,133.53423
04013050608,2020,10,17,81.20899
04013061024,2013,05,3,6.224256
04013061024,2013,06,4,27.41503
04013061024,2013,07,6,30.852723
04013061024,2014,05,3,11.177677
04013061024,2014,09,1,1.669753
04013061024,2014,11,1,3.71591
04013061024,2015,04,1,2.483314
04013061024,2015,06,4,7.40793
04013061024,2015,08,1,1.086984
04013061024,2016,05,1,2.479527
04013061024,2016,06,3,7.559721
04013061024,2016,08,5,11.783951
04013061024,2017,06,8,22.6423712
04013061024,2017,07,1,6.382481
04013061024,2017,08,2,5.961437
04013061024,2017,09,2,14.798011
04013061024,2017,10,2,3.770052
04013061024,2018,07,1,3.288555
04013061024,2018,08,8,27.3964128
04013061024,2018,11,1,7.342947
04013061024,2019,06,7,9.0625073
04013061024,2019,07,1,1.17408
04013061024,2019,10,4,8.8659744
04013061024,2019,11,1,1.490791
04013061024,2020,06,6,8.0392074
04013061024,2020,08,16,91.272857
04013061024,2020,09,21,123.470279
04013061024,2020,10,17,75.43625
04013061100,2013,05,3,4.6660206
04013061100,2013,06,4,24.793335
04013061100,2013,07,6,30.056562
04013061100,2014,05,3,11.273991
04013061100,2014,11,1,4.11291
04013061100,2015,04,1,1.897104
04013061100,2015,06,5,6.3887871
04013061100,2015,08,1,0.9653232
04013061100,2016,05,1,2.162965
04013061100,2016,06,3,6.108436
04013061100,2016,08,5,11.146021
04013061100,2017,06,8,20.0177635
04013061100,2017,07,1,5.905227
04013061100,2017,08,2,5.912178
04013061100,2017,09,2,13.60121
04013061100,2017,10,3,4.261582
04013061100,2018,07,1,2.882623
04013061100,2018,08,8,26.7105247
04013061100,2018,11,1,8.097554
04013061100,2019,06,7,7.7337319
04013061100,2019,07,1,1.053739
04013061100,2019,09,1,0.3803614
04013061100,2019,10,4,9.0720926
04013061100,2019,11,1,1.821604
04013061100,2020,06,7,6.05142876
04013061100,2020,08,16,90.756279
