period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units,sector,entityid,entityName,balancing_authority_code,balancing.authority.name,status,gen_cap,operating.year.month,geometry,intersection,geoid,long,lat
2015-06,59199,Mesa PV1,SUN,Solar,CO,Colorado,PV,341.87,megawatthours,ipp-non-chp,59078,Fresh Air Energy VIII LLC,PSCO,Public Service Company of Colorado,OP,1.6,2014-12,-108.509139|39.0672,10658,08077000800,-108.509139,39.0672
2014-06,59239,Eagle Springs Solar LLC,SUN,Solar,CO,Colorado,PV,132.84,megawatthours,ipp-non-chp,59045,Eagle Springs Solar LLC,PSCO,Public Service Company of Colorado,OP,1,2013-08,-107.696111|39.526111,10489,08045951901,-107.696111,39.526111
2014-07,59462,Denver Intl Airport IV Solar,SUN,Solar,CO,Colorado,PV,0.37,megawatthours,ipp-non-chp,59229,Denver Int'l Airport IV Solar,SWPP,Southwest Power Pool,OP,1.5,2014-07,-104.669444|39.900556,10149,08031980000,-104.669444,39.900556
2017-02,59656,Comanche Solar,SUN,Solar,CO,Colorado,PV,15504.95,megawatthours,ipp-non-chp,59429,"Comanche Solar PV, LLC",PSCO,Public Service Company of Colorado,OP,120,2016-09,-104.566667|38.205278,10014,08101003106,-104.566667,38.205278
2015-06,59742,Sunnyside Ranch Community Solar Array,SUN,Solar,CO,Colorado,PV,288.06,megawatthours,ipp-non-chp,58519,Clean Energy Collective LLC,PSCO,Public Service Company of Colorado,OP,1.5,2015-04,-107.157188|39.415027,10426,08045951803,-107.157188,39.415027
2014-04,59807,Airport 1 Solar (DIA),SUN,Solar,CO,Colorado,PV,174.66,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,SWPP,Southwest Power Pool,OP,1.5,2009-12,-104.675338|39.899444,10149,08031980000,-104.675338,39.899444
2016-04,59848,Pikes Peak Solar Garden 1 LLC,SUN,Solar,CO,Colorado,PV,292.91,megawatthours,ipp-non-chp,59650,Pikes Peak Solar Garden 1 LLC,WACM,Western Area Power Administration - Rocky Mountain Region,OP,2,2015-07,-104.7458|38.7745,10782,08041004502,-104.7458,38.7745
2017-02,59849,Adams Community Solar Garden LLC,SUN,Solar,CO,Colorado,PV,42.42,megawatthours,ipp-non-chp,59651,Adams Community Solar Garden LLC,PSCO,Public Service Company of Colorado,OP,1.2,2015-07,-104.5859|39.7876,10256,08001008401,-104.5859,39.7876
2017-02,59850,Adams Community Solar Garden III LLC,SUN,Solar,CO,Colorado,PV,132.92,megawatthours,ipp-non-chp,59652,Adams Community Solar Garden III LLC,PSCO,Public Service Company of Colorado,OP,1.2,2015-07,-104.5877|39.7867,10256,08001008401,-104.5877,39.7867
2016-01,60008,Hooper Solar,SUN,Solar,CO,Colorado,PV,5152,megawatthours,ipp-non-chp,59744,"Solar Star Colorado III, LLC",PSCO,Public Service Company of Colorado,OP,52,2015-12,-105.990812|37.691863,10065,08003960000,-105.990812,37.691863
2017-02,60023,SR Jenkins Ft Lupton,SUN,Solar,CO,Colorado,PV,1657.41,megawatthours,ipp-non-chp,59766,"SR Jenkins, LLC",PSCO,Public Service Company of Colorado,OP,13,2016-05,-104.746661|40.081444,10061,08123001902,-104.746661,40.081444
2017-02,60247,Valley View Solar,SUN,Solar,CO,Colorado,PV,494.47,megawatthours,ipp-non-chp,60036,SR Clinch,WACM,Western Area Power Administration - Rocky Mountain Region,OP,4,2015-12,-104.891944|40.418786,9987,08123002209,-104.891944,40.418786
